drugbank_id,uniprot_id,interaction
DB03712,P09917,False
DB06134,Q9UQB9,True
DB02703,P00484,True
DB08231,P13900,True
DB01264,P03366,True
DB01351,P43681,True
DB01808,P37093,False
DB05492,P08913,True
DB01822,O43570,False
DB01236,P98194,True
DB00843,O75460,False
DB00925,P25100,True
DB08297,P9WK17,False
DB12130,P12931,False
DB09225,P14416,True
DB02451,P0A2K1,False
DB00127,P51857,False
DB00280,Q9NZV8,True
DB09185,P22830,False
DB04522,P81605,False
DB07063,P15121,True
DB02580,P15104,False
DB00948,P0AD68,True
DB06786,Q16760,False
DB05611,P29459,True
DB02448,P12821,False
DB01454,P31645,True
DB00949,Q13224,True
DB16071,P46098,False
DB04552,P31644,False
DB06347,P61626,False
DB03639,P49366,True
DB04339,P0A2Y7,False
DB00490,P21917,True
DB08686,P04584,True
DB06274,P08173,False
DB00508,P04818,False
DB04404,P0A3M6,False
DB00767,Q07869,False
DB00170,Q8N0U8,True
DB01721,Q96Q40,False
DB00142,P43004,True
DB05100,Q59771,False
DB08399,Q12809,False
DB07680,P11474,False
DB02450,P52699,True
DB04714,A0R559,True
DB03360,Q72547,False
DB01010,P06276,True
DB04006,P24941,True
DB00246,P0A8D6,False
DB07374,P49354,False
DB00466,O75311,True
DB01420,P10275,True
DB01267,P14416,True
DB01392,P03303,False
DB01241,P08908,False
DB01396,Q88K39,False
DB15065,P47871,True
DB07004,P04271,True
DB00808,P00734,False
DB02973,P77173,False
DB04946,P35462,True
DB00368,P18089,True
DB04147,P42512,True
DB01598,Q9H3N8,False
DB02494,P39023,True
DB02400,P15559,True
DB06809,Q96A70,False
DB00210,P17174,True
DB03109,Q01959,False
DB00257,P41143,False
DB16629,P41143,False
DB00149,Q15788,False
DB09286,P14416,True
DB03147,P16083,True
DB18145,P15917,False
DB11638,Q16445,False
DB01080,P80404,True
DB07700,P42330,True
DB01186,Q12791,False
DB17493,P00282,False
DB04522,P00734,False
DB07028,P15121,True
DB15323,P27487,True
DB07509,P37231,True
DB07394,P36542,True
DB07073,P41407,False
DB00157,Q04782,False
DB08805,P25021,True
DB11647,P08253,True
DB03541,P08908,False
DB14487,P0A2K1,False
DB06718,Q14524,False
DB07546,P19784,True
DB12890,P21728,True
DB00210,P0A884,False
DB01536,P0AE18,False
DB00157,P11511,False
DB08358,P08913,False
DB01017,P35228,True
DB01380,P04150,True
DB00573,Q07869,True
DB01338,P20309,True
DB07132,P03372,False
DB03382,P03366,False
DB04395,P19838,False
DB04464,P26790,True
DB00956,P30411,False
DB08770,P30542,True
DB12010,P42681,True
DB05168,P41439,True
DB02446,P35462,False
DB00604,Q8VUS7,False
DB01472,Q05940,True
DB01465,P62917,False
DB00142,P13569,False
DB00548,P66010,True
DB03811,P35218,False
DB05416,P76577,False
DB06680,P06401,True
DB00767,P35968,False
DB09555,Q9HVZ0,False
DB01244,P29474,False
DB16833,Q9H244,True
DB02379,Q9UGI5,False
DB11619,P30968,True
DB12836,P35030,False
DB06968,P02766,False
DB11764,Q06187,True
DB07952,Q8RLY5,False
DB01346,Q14524,True
DB11741,P04746,False
DB00909,Q07699,True
DB12058,P03372,False
DB07819,Q7B8V4,True
DB00316,O14757,False
DB02999,P41594,True
DB01352,Q13002,True
DB01073,P09884,True
DB04791,Q8TCG2,False
DB00252,Q07699,True
DB04224,Q03181,True
DB03240,P42262,True
DB00142,O94925,True
DB01409,P50921,False
DB04272,Q9X286,True
DB07564,P23219,False
DB03909,P30626,False
DB16825,P18089,False
DB16768,P35367,False
DB00288,O95718,True
DB00712,P35354,True
DB14487,P04004,True
DB08673,Q9HBA0,False
DB06945,P06276,False
DB02709,P35354,True
DB03503,P03472,True
DB00416,P43681,True
DB04721,P68400,True
DB12010,O15075,True
DB12085,Q13489,True
DB08815,P36544,False
DB00664,P30556,False
DB00540,P00861,False
DB04368,P0A6K3,True
DB12111,Q9UNI1,False
DB02908,P08588,False
DB17129,P06401,False
DB07292,P09467,True
DB12417,P02787,False
DB14481,Q96FQ6,True
DB01535,P04049,False
DB00929,Q15722,False
DB11672,P23280,True
DB01246,P14416,False
DB07440,P37062,False
DB16236,P23219,False
DB00482,P29371,False
DB08762,P15085,True
DB00151,P11229,False
DB02425,P9WMC1,True
DB03735,P30542,False
DB00201,P21817,True
DB00363,P0A6K3,False
DB09006,P23975,False
DB11718,P45983,True
