drugbank_id,uniprot_id,interaction
DB03461,Q59931,1
DB08699,Q13555,1
DB00091,P49069,1
DB01567,O00591,1
DB06908,Q15788,1
DB02129,P05020,1
DB00837,P14867,1
DB01175,P11926,0
DB01303,P29274,1
DB00243,Q15303,0
DB00451,P35367,0
DB02379,P02144,1
DB01915,P62829,0
DB02999,P39086,1
DB12843,P14780,1
DB00333,Q1LCS4,0
DB06937,Q92731,1
DB15097,P42593,0
DB02879,P29723,1
DB08307,Q53586,1
DB07302,P37231,1
DB12671,P50579,1
DB04526,P06971,1
DB17892,P01579,1
DB04336,P31749,0
DB04310,Q9HBH1,1
DB00503,Q72874,1
DB03212,P00943,0
DB03683,P14780,1
DB02371,P09871,1
DB03252,P22188,0
DB00502,P28335,1
DB05271,P14416,1
DB04272,Q13464,0
DB02300,P07339,0
DB02905,P08908,0
DB03056,P23141,1
DB01956,P00749,0
DB12695,Q13885,1
DB01567,P18031,0
DB04700,Q9Y2T6,0
DB00312,O67931,0
DB01602,P35498,0
DB04157,P11797,1
DB04272,Q9GV41,1
DB06712,P42345,0
DB04574,O00763,0
DB08249,P35348,0
DB02709,P49286,1
DB00692,Q13002,0
DB00201,P41594,0
DB04482,P00742,0
DB03125,P08172,0
DB00951,P9WIE5,1
DB19325,Q9P0X4,0
DB00749,P35354,1
DB01452,P62508,0
DB00489,P07550,1
DB03727,P27487,0
DB02395,P53848,0
DB09070,P35498,0
DB01136,P19320,1
DB09221,P23415,0
DB04272,P43487,0
DB03317,P9WN25,1
DB07471,P24941,1
DB02674,P10826,0
DB13003,P04150,1
DB01006,Q16602,0
DB07761,P24941,1
DB02603,P11797,0
DB12143,P18825,1
DB02277,P31677,0
DB02091,P35968,0
DB14501,P06746,1
DB03417,P05026,0
DB02394,P00734,0
DB00149,P54687,1
DB03147,P61497,1
DB05212,O15440,0
DB02859,O00763,1
DB08453,P11217,0
DB06873,P35462,0
DB07562,P20248,1
DB12109,Q02218,1
DB01173,P00524,0
DB08608,Q15119,1
DB02556,P12104,0
DB02603,Q8NER1,0
DB02339,P33247,1
DB04315,P07477,0
DB06152,Q6QNK2,0
DB01106,P35367,1
DB14924,Q08881,1
DB05552,O00329,1
