drugbank_id,uniprot_id,protein_emb_path
DB00006,P00734,embeddings/P00734/5AFY_H.cif.pt
DB00014,P22888,embeddings/P22888/7FIH_R.cif.pt
DB00014,P01148,embeddings/P01148/4D5M_A.cif.pt
DB00014,P30968,embeddings/P30968/7BR3_A.cif.pt
DB00027,P0AC13,embeddings/P0AC13/5U0V_A.cif.pt
DB00035,P30518,embeddings/P30518/7DW9_R.cif.pt
DB00035,P37288,embeddings/P37288/1YTV_M.cif.pt
DB00050,P30968,embeddings/P30968/7BR3_A.cif.pt
DB00050,P22888,embeddings/P22888/7FIH_R.cif.pt
DB00080,P0AC13,embeddings/P0AC13/5U0V_A.cif.pt
DB00091,P49069,embeddings/P49069/8CR1_C.cif.pt
DB00091,Q08209,embeddings/Q08209/4F0Z_A.cif.pt
DB00091,P62937,embeddings/P62937/4N1M_A.cif.pt
DB00091,P30405,embeddings/P30405/7R2H_A.cif.pt
DB00106,P30968,embeddings/P30968/7BR3_A.cif.pt
DB00114,P00734,embeddings/P00734/5AFY_H.cif.pt
DB00114,P17174,embeddings/P17174/6DNB_A.cif.pt
DB00115,Q8IVH4,embeddings/Q8IVH4/2WWW_A.cif.pt
DB00117,P12081,embeddings/P12081/4G84_A.cif.pt
DB00118,Q8N1G2,embeddings/Q8N1G2/4N49_A.cif.pt
DB00118,Q9HBK9,embeddings/Q9HBK9/8XT7_A.cif.pt
DB00118,P35520,embeddings/P35520/4UUU_A.cif.pt
DB00120,P07101,embeddings/P07101/2XSN_A.cif.pt
DB00120,P17735,embeddings/P17735/3DYD_A.cif.pt
DB00120,Q9UHI5,embeddings/Q9UHI5/7CMI_B.cif.pt
DB00120,Q9Y285,embeddings/Q9Y285/3L4G_A.cif.pt
DB00120,P00439,embeddings/P00439/1J8U_A.cif.pt
DB00120,O95363,embeddings/O95363/8P8X_A.cif.pt
DB00120,Q9NSD9,embeddings/Q9NSD9/3L4G_B.cif.pt
DB00123,Q15046,embeddings/Q15046/6ILD_A.cif.pt
DB00125,P04424,embeddings/P04424/1K62_A.cif.pt
DB00125,P35228,embeddings/P35228/3E7G_A.cif.pt
DB00125,P78540,embeddings/P78540/4HZE_A.cif.pt
DB00125,P29474,embeddings/P29474/4D1P_A.cif.pt
DB00126,Q9UHI7,embeddings/Q9UHI7/8JEW_A.cif.pt
DB00126,Q54873,embeddings/Q54873/1N7O_A.cif.pt
DB00126,Q6NS38,embeddings/Q6NS38/3S57_A.cif.pt
DB00127,P52788,embeddings/P52788/3C6K_A.cif.pt
DB00127,P22748,embeddings/P22748/3FW3_A.cif.pt
DB00127,Q05586,embeddings/Q05586/9D37_A.cif.pt
DB00127,Q16790,embeddings/Q16790/6RQQ_A.cif.pt
DB00127,P23280,embeddings/P23280/3FE4_A.cif.pt
DB00127,Q9ULX7,embeddings/Q9ULX7/5CJF_A.cif.pt
DB00127,Q12879,embeddings/Q12879/7EU7_B.cif.pt
DB00127,Q9NWM0,embeddings/Q9NWM0/7OY0_A.cif.pt
DB00127,P08588,embeddings/P08588/7BVQ_A.cif.pt
DB00127,P07550,embeddings/P07550/2RH1_A.cif.pt
DB00128,Q12879,embeddings/Q12879/7EU7_B.cif.pt
DB00128,Q13224,embeddings/Q13224/5EWM_B.cif.pt
DB00128,Q05586,embeddings/Q05586/9D37_A.cif.pt
DB00128,Q9UJS0,embeddings/Q9UJS0/4P5W_A.cif.pt
DB00128,P17174,embeddings/P17174/6DNB_A.cif.pt
DB00128,Q03154,embeddings/Q03154/1Q7L_A.cif.pt
DB00128,P00505,embeddings/P00505/5AX8_A.cif.pt
DB00128,P14868,embeddings/P14868/4J15_A.cif.pt
DB00128,O75746,embeddings/O75746/4P5X_A.cif.pt
DB00128,Q12797,embeddings/Q12797/6YYX_A.cif.pt
DB00128,P30520,embeddings/P30520/2V40_A.cif.pt
DB00128,P43005,embeddings/P43005/8CUA_A.cif.pt
DB00128,Q6PI48,embeddings/Q6PI48/4AH6_A.cif.pt
DB00128,Q7L266,embeddings/Q7L266/4O0C_A.cif.pt
DB00128,P07998,embeddings/P07998/2E0J_A.cif.pt
DB00128,P61626,embeddings/P61626/2NWD_X.cif.pt
DB00129,P04181,embeddings/P04181/8V9M_A.cif.pt
DB00129,P00480,embeddings/P00480/1OTH_A.cif.pt
DB00129,P05089,embeddings/P05089/2AEB_A.cif.pt
DB00129,P54368,embeddings/P54368/4ZGY_B.cif.pt
DB00129,P78540,embeddings/P78540/4HZE_A.cif.pt
DB00129,P50440,embeddings/P50440/1JDW_A.cif.pt
DB00131,Q13131,embeddings/Q13131/6C9H_A.cif.pt
DB00131,Q9Y478,embeddings/Q9Y478/8BIK_B.cif.pt
DB00131,Q13131,embeddings/Q13131/6C9H_A.cif.pt
DB00131,P16220,embeddings/P16220/5ZK1_A.cif.pt
DB00131,P09467,embeddings/P09467/7WJV_A.cif.pt
DB00132,O14842,embeddings/O14842/5TZR_A.cif.pt
DB00132,P35354,embeddings/P35354/5F19_A.cif.pt
DB00132,Q8NER1,embeddings/Q8NER1/6L93_A.cif.pt
DB00132,Q07869,embeddings/Q07869/6KAX_A.cif.pt
DB00132,Q96RI1,embeddings/Q96RI1/6HL1_A.cif.pt
DB00132,Q03181,embeddings/Q03181/5U3Q_A.cif.pt
DB00132,P37231,embeddings/P37231/9F7W_A.cif.pt
DB00132,P19793,embeddings/P19793/7A77_A.cif.pt
DB00132,P32418,embeddings/P32418/8SGI_A.cif.pt
DB00135,P07101,embeddings/P07101/2XSN_A.cif.pt
DB00135,Q9Y2Z4,embeddings/Q9Y2Z4/2PID_A.cif.pt
DB00135,P54577,embeddings/P54577/1N3L_A.cif.pt
DB00135,P17735,embeddings/P17735/3DYD_A.cif.pt
DB00136,P11473,embeddings/P11473/3B0T_A.cif.pt
DB00138,Q9UPY5,embeddings/Q9UPY5/7EPZ_B.cif.pt
DB00138,O60931,embeddings/O60931/8DYP_A.cif.pt
DB00140,Q969G6,embeddings/Q969G6/1NB0_A.cif.pt
DB00140,P0AFU8,embeddings/P0AFU8/1I8D_A.cif.pt
DB00141,P15291,embeddings/P15291/2FY7_A.cif.pt
DB00141,Q9UJ70,embeddings/Q9UJ70/2CH5_A.cif.pt
DB00141,P54802,embeddings/P54802/4XWH_A.cif.pt
DB00142,Q13255,embeddings/Q13255/3KS9_A.cif.pt
DB00142,Q14833,embeddings/Q14833/8JD4_4.cif.pt
DB00142,Q14831,embeddings/Q14831/5C5C_A.cif.pt
DB00142,O00222,embeddings/O00222/6BSZ_A.cif.pt
DB00142,O15382,embeddings/O15382/5MPR_A.cif.pt
DB00142,O15399,embeddings/O15399/9D37_D.cif.pt
DB00142,O94925,embeddings/O94925/8JUB_A.cif.pt
DB00142,P00505,embeddings/P00505/5AX8_A.cif.pt
DB00142,P07814,embeddings/P07814/7X09_A.cif.pt
DB00142,P15104,embeddings/P15104/2OJW_A.cif.pt
DB00142,P17174,embeddings/P17174/6DNB_A.cif.pt
DB00142,P17735,embeddings/P17735/3DYD_A.cif.pt
DB00142,P38435,embeddings/P38435/9BUR_A.cif.pt
DB00142,P43003,embeddings/P43003/5LM4_A.cif.pt
DB00142,P43004,embeddings/P43004/7XR4_A.cif.pt
DB00142,P43005,embeddings/P43005/8CUA_A.cif.pt
DB00142,P49915,embeddings/P49915/2VPI_A.cif.pt
DB00142,P54687,embeddings/P54687/7NWA_A.cif.pt
DB00142,Q05586,embeddings/Q05586/9D37_A.cif.pt
DB00142,Q07075,embeddings/Q07075/4KX7_A.cif.pt
DB00142,Q12879,embeddings/Q12879/7EU7_B.cif.pt
DB00142,Q13224,embeddings/Q13224/5EWM_B.cif.pt
DB00142,Q14957,embeddings/Q14957/8E93_B.cif.pt
DB00142,Q8N159,embeddings/Q8N159/4K30_A.cif.pt
DB00142,Q8N5Z0,embeddings/Q8N5Z0/6D0A_A.cif.pt
DB00142,Q8TCU5,embeddings/Q8TCU5/8UUE_B.cif.pt
DB00142,Q9UDR5,embeddings/Q9UDR5/5O1P_A.cif.pt
DB00142,Q9UI32,embeddings/Q9UI32/4BQM_A.cif.pt
DB00142,Q9UPY5,embeddings/Q9UPY5/7EPZ_B.cif.pt
DB00142,Q9Y617,embeddings/Q9Y617/8A5V_A.cif.pt
DB00142,P00367,embeddings/P00367/1L1F_A.cif.pt
DB00142,P39086,embeddings/P39086/3FV1_A.cif.pt
DB00142,P42261,embeddings/P42261/6X5Q_B.cif.pt
DB00142,Q04609,embeddings/Q04609/5O5T_A.cif.pt
DB00142,Q05329,embeddings/Q05329/2OKK_A.cif.pt
DB00142,Q99259,embeddings/Q99259/3VP6_A.cif.pt
DB00142,P42262,embeddings/P42262/8I0B_A.cif.pt
DB00142,P54886,embeddings/P54886/2H5G_A.cif.pt
DB00142,Q13002,embeddings/Q13002/5CMM_A.cif.pt
DB00143,P15121,embeddings/P15121/1US0_A.cif.pt
DB00143,P14780,embeddings/P14780/4XCT_A.cif.pt
DB00143,P08684,embeddings/P08684/5VCC_A.cif.pt
DB00143,O75715,embeddings/O75715/2I3Y_A.cif.pt
DB00143,P00390,embeddings/P00390/3DK9_A.cif.pt
DB00143,P48637,embeddings/P48637/8FBZ_A.cif.pt
DB00143,P09488,embeddings/P09488/7BEU_A.cif.pt
DB00143,Q9Y2Q3,embeddings/Q9Y2Q3/3RPP_A.cif.pt
DB00143,Q16772,embeddings/Q16772/2VCV_A.cif.pt
DB00143,P21266,embeddings/P21266/3GTU_B.cif.pt
DB00143,O15217,embeddings/O15217/3IK7_A.cif.pt
DB00143,Q03013,embeddings/Q03013/4GTU_A.cif.pt
DB00143,P09211,embeddings/P09211/5J41_A.cif.pt
DB00143,P78417,embeddings/P78417/5YVN_A.cif.pt
DB00143,P30711,embeddings/P30711/2C3N_A.cif.pt
DB00143,O43708,embeddings/O43708/1FW1_A.cif.pt
DB00143,Q04760,embeddings/Q04760/3W0T_A.cif.pt
DB00143,Q16873,embeddings/Q16873/3PCV_A.cif.pt
