drugbank_id,uniprot_id,protein_emb_path
DB00006,P00734,embeddings/P00734/5AFY_H.cif.pt
DB00014,P22888,embeddings/P22888/7FIH_R.cif.pt
DB00014,P01148,embeddings/P01148/4D5M_A.cif.pt
DB00014,P30968,embeddings/P30968/7BR3_A.cif.pt
DB00027,P0AC13,embeddings/P0AC13/5U0V_A.cif.pt
DB00035,P30518,embeddings/P30518/7DW9_R.cif.pt
DB00035,P37288,embeddings/P37288/1YTV_M.cif.pt
DB00050,P30968,embeddings/P30968/7BR3_A.cif.pt
DB00080,P0AC13,embeddings/P0AC13/5U0V_A.cif.pt
DB00091,P49069,embeddings/P49069/8CR1_C.cif.pt
DB00091,Q08209,embeddings/Q08209/4F0Z_A.cif.pt
DB00091,P62937,embeddings/P62937/4N1M_A.cif.pt
DB00091,P30405,embeddings/P30405/7R2H_A.cif.pt
DB00106,P30968,embeddings/P30968/7BR3_A.cif.pt
DB00114,P00734,embeddings/P00734/5AFY_H.cif.pt
DB00115,Q99707,embeddings/Q99707/2O2K_A.cif.pt
DB00115,P22033,embeddings/P22033/8DYL_B.cif.pt
DB00120,P07101,embeddings/P07101/2XSN_A.cif.pt
DB00126,Q9UHI7,embeddings/Q9UHI7/8JEW_A.cif.pt
DB00127,P52788,embeddings/P52788/3C6K_A.cif.pt
DB00127,P22748,embeddings/P22748/3FW3_A.cif.pt
DB00127,Q05586,embeddings/Q05586/9D37_A.cif.pt
DB00127,Q16790,embeddings/Q16790/6RQQ_A.cif.pt
DB00127,P23280,embeddings/P23280/3FE4_A.cif.pt
DB00127,Q9ULX7,embeddings/Q9ULX7/5CJF_A.cif.pt
DB00127,Q12879,embeddings/Q12879/7EU7_B.cif.pt
DB00127,Q9NWM0,embeddings/Q9NWM0/7OY0_A.cif.pt
DB00128,Q12879,embeddings/Q12879/7EU7_B.cif.pt
DB00128,Q13224,embeddings/Q13224/5EWM_B.cif.pt
DB00128,Q05586,embeddings/Q05586/9D37_A.cif.pt
DB00131,Q13131,embeddings/Q13131/6C9H_A.cif.pt
DB00132,O14842,embeddings/O14842/5TZR_A.cif.pt
DB00132,P35354,embeddings/P35354/5F19_A.cif.pt
DB00132,Q8NER1,embeddings/Q8NER1/6L93_A.cif.pt
DB00135,P07101,embeddings/P07101/2XSN_A.cif.pt
DB00136,P11473,embeddings/P11473/3B0T_A.cif.pt
DB00140,Q969G6,embeddings/Q969G6/1NB0_A.cif.pt
DB00140,P0AFU8,embeddings/P0AFU8/1I8D_A.cif.pt
DB00140,P30043,embeddings/P30043/1HDO_A.cif.pt
DB00146,P11473,embeddings/P11473/3B0T_A.cif.pt
DB00147,O00764,embeddings/O00764/8WR2_A.cif.pt
DB00148,P06732,embeddings/P06732/1I0E_A.cif.pt
DB00148,P12532,embeddings/P12532/1QK1_A.cif.pt
DB00148,P12277,embeddings/P12277/3B6R_A.cif.pt
DB00148,P17540,embeddings/P17540/4Z9M_A.cif.pt
DB00150,P14902,embeddings/P14902/8ABX_A.cif.pt
DB00152,Q9H3S4,embeddings/Q9H3S4/3S4Y_A.cif.pt
DB00152,P0AFG8,embeddings/P0AFG8/2QTC_A.cif.pt
DB00153,P11473,embeddings/P11473/3B0T_A.cif.pt
DB00154,P35354,embeddings/P35354/5F19_A.cif.pt
DB00154,P23219,embeddings/P23219/6Y3C_A.cif.pt
DB00157,P03897,embeddings/P03897/5XTC_j.cif.pt
DB00158,P41440,embeddings/P41440/7XTK_A.cif.pt
DB00159,P35354,embeddings/P35354/5F19_A.cif.pt
DB00159,P23219,embeddings/P23219/6Y3C_A.cif.pt
DB00159,P37231,embeddings/P37231/9F7W_A.cif.pt
DB00159,Q03181,embeddings/Q03181/5U3Q_A.cif.pt
DB00159,O14842,embeddings/O14842/5TZR_A.cif.pt
DB00159,P32418,embeddings/P32418/8SGI_A.cif.pt
DB00159,O15540,embeddings/O15540/6L9O_A.cif.pt
DB00162,P48443,embeddings/P48443/7A79_A.cif.pt
DB00165,P20711,embeddings/P20711/8OR9_A.cif.pt
DB00165,O00764,embeddings/O00764/8WR2_A.cif.pt
DB00169,P11473,embeddings/P11473/3B0T_A.cif.pt
DB00170,Q06278,embeddings/Q06278/4UHW_A.cif.pt
DB00170,P38435,embeddings/P38435/9BUR_A.cif.pt
DB00170,Q9BQB6,embeddings/Q9BQB6/6WVH_A.cif.pt
DB00171,P00519,embeddings/P00519/5HU9_A.cif.pt
DB00175,P04035,embeddings/P04035/2R4F_A.cif.pt
DB00176,P31645,embeddings/P31645/5I6X_A.cif.pt
DB00177,P30556,embeddings/P30556/6OS2_A.cif.pt
DB00178,P12821,embeddings/P12821/6H5W_A.cif.pt
DB00179,P09917,embeddings/P09917/7TTK_A.cif.pt
DB00179,P04626,embeddings/P04626/8VB5_A.cif.pt
DB00180,P04150,embeddings/P04150/4UDD_A.cif.pt
DB00181,O75899,embeddings/O75899/4MS4_B.cif.pt
DB00182,Q05940,embeddings/Q05940/8JSW_A.cif.pt
DB00182,Q01959,embeddings/Q01959/9EO4_B.cif.pt
DB00182,Q16568,embeddings/Q16568/1HY9_A.cif.pt
DB00182,Q96RJ0,embeddings/Q96RJ0/8W88_R.cif.pt
DB00182,P21397,embeddings/P21397/2Z5Y_A.cif.pt
DB00183,P32239,embeddings/P32239/7XOW_R.cif.pt
DB00184,P43681,embeddings/P43681/5KXI_A.cif.pt
DB00184,P36544,embeddings/P36544/5AFN_A.cif.pt
DB00184,P17787,embeddings/P17787/5KXI_B.cif.pt
DB00185,P20309,embeddings/P20309/8EA0_A.cif.pt
DB00185,P11229,embeddings/P11229/6ZFZ_A.cif.pt
DB00186,P14867,embeddings/P14867/6D1S_A.cif.pt
DB00186,P14867,embeddings/P14867/6D1S_A.cif.pt
DB00187,P08588,embeddings/P08588/7BVQ_A.cif.pt
DB00188,P28074,embeddings/P28074/5LE5_K.cif.pt
DB00188,P07477,embeddings/P07477/2RA3_A.cif.pt
DB00188,P20618,embeddings/P20618/5LE5_L.cif.pt
DB00189,P47870,embeddings/P47870/6X3T_A.cif.pt
DB00189,P14867,embeddings/P14867/6D1S_A.cif.pt
DB00189,P14867,embeddings/P14867/6D1S_A.cif.pt
DB00190,P20711,embeddings/P20711/8OR9_A.cif.pt
DB00191,P23975,embeddings/P23975/8ZP2_A.cif.pt
DB00191,P31645,embeddings/P31645/5I6X_A.cif.pt
DB00191,Q01959,embeddings/Q01959/9EO4_B.cif.pt
DB00191,P21397,embeddings/P21397/2Z5Y_A.cif.pt
DB00191,P01303,embeddings/P01303/7RTA_N.cif.pt
DB00192,Q14524,embeddings/Q14524/6LQA_B.cif.pt
DB00193,P35372,embeddings/P35372/8EFO_M.cif.pt
DB00193,P23975,embeddings/P23975/8ZP2_A.cif.pt
DB00193,P31645,embeddings/P31645/5I6X_A.cif.pt
DB00193,Q99250,embeddings/Q99250/6J8E_A.cif.pt
DB00193,Q05586,embeddings/Q05586/9D37_A.cif.pt
DB00193,P30542,embeddings/P30542/5UEN_A.cif.pt
DB00193,P08913,embeddings/P08913/6KUX_A.cif.pt
DB00194,P29275,embeddings/P29275/8HDO_R.cif.pt
DB00194,P04293,embeddings/P04293/7LUF_A.cif.pt
DB00195,P08588,embeddings/P08588/7BVQ_A.cif.pt
DB00196,P10613,embeddings/P10613/5TZ1_A.cif.pt
DB00197,P37231,embeddings/P37231/9F7W_A.cif.pt
DB00200,Q99707,embeddings/Q99707/2O2K_A.cif.pt
DB00200,P22033,embeddings/P22033/8DYL_B.cif.pt
DB00201,P30542,embeddings/P30542/5UEN_A.cif.pt
DB00201,P21589,embeddings/P21589/6TVE_P.cif.pt
DB00201,P29274,embeddings/P29274/5NM4_A.cif.pt
DB00201,P29275,embeddings/P29275/8HDO_R.cif.pt
DB00201,P0DMS8,embeddings/P0DMS8/8X17_R.cif.pt
DB00201,Q08499,embeddings/Q08499/1Y2K_A.cif.pt
DB00203,P05155,embeddings/P05155/5DU3_A.cif.pt
DB00203,O76074,embeddings/O76074/1TBF_A.cif.pt
DB00204,Q12809,embeddings/Q12809/9CHQ_A.cif.pt
DB00204,O95069,embeddings/O95069/4TWK_A.cif.pt
DB00205,P00374,embeddings/P00374/1KMV_A.cif.pt
DB00205,P15328,embeddings/P15328/4KM6_A.cif.pt
DB00205,P13922,embeddings/P13922/1J3K_C.cif.pt
DB00206,Q05940,embeddings/Q05940/8JSW_A.cif.pt
DB00208,P25105,embeddings/P25105/5ZKP_A.cif.pt
DB00208,Q9H244,embeddings/Q9H244/4PXZ_A.cif.pt
DB00209,P08912,embeddings/P08912/6OL9_A.cif.pt
DB00210,P10826,embeddings/P10826/4DM6_A.cif.pt
DB00210,P13631,embeddings/P13631/1FCY_A.cif.pt
DB00210,P28702,embeddings/P28702/7A78_A.cif.pt
DB00210,P48443,embeddings/P48443/7A79_A.cif.pt
DB00210,P19793,embeddings/P19793/7A77_A.cif.pt
DB00210,P05412,embeddings/P05412/6Y3V_P.cif.pt
DB00210,O60603,embeddings/O60603/2Z80_A.cif.pt
DB00211,P35348,embeddings/P35348/8THK_R.cif.pt
DB00212,P00797,embeddings/P00797/3K1W_A.cif.pt
DB00214,P55011,embeddings/P55011/9C0H_A.cif.pt
DB00215,P31645,embeddings/P31645/5I6X_A.cif.pt
DB00216,P28221,embeddings/P28221/7E32_R.cif.pt
DB00216,P28222,embeddings/P28222/4IAR_A.cif.pt
DB00216,P30939,embeddings/P30939/7EXD_R.cif.pt
DB00217,P08588,embeddings/P08588/7BVQ_A.cif.pt
DB00217,P08913,embeddings/P08913/6KUX_A.cif.pt
DB00218,P20831,embeddings/P20831/6Z1A_B.cif.pt
DB00218,P0A0K8,embeddings/P0A0K8/5CPH_A.cif.pt
DB00219,P11229,embeddings/P11229/6ZFZ_A.cif.pt
DB00221,P08588,embeddings/P08588/7BVQ_A.cif.pt
DB00222,Q14654,embeddings/Q14654/7S5T_A.cif.pt
DB00222,Q09428,embeddings/Q09428/7S5V_E.cif.pt
